screen,model,ordered_rank,family_size,harmonic_factor,pvalue,rank_cutoff,passes_own_rank_cutoff,step_up_last_passing_rank,step_up_cutoff,retained_by_step_up,final_label
raw,signal,1,6,2.4499999999999997,2.0790928614545271e-13,0.0034013605442176874,True,1,0.0034013605442176874,True,RETAIN
raw,unrelated,2,6,2.4499999999999997,0.12633774386272251,0.0068027210884353748,False,1,0.0034013605442176874,False,NOT_RETAINED
raw,reverse_order,3,6,2.4499999999999997,0.16534162234663524,0.010204081632653064,False,1,0.0034013605442176874,False,ABSTAIN
raw,copy,4,6,2.4499999999999997,0.83465837765336426,0.01360544217687075,False,1,0.0034013605442176874,False,ABSTAIN
raw,same_order,5,6,2.4499999999999997,0.83465837765336426,0.017006802721088437,False,1,0.0034013605442176874,False,ABSTAIN
raw,constant,6,6,2.4499999999999997,1,0.020408163265306128,False,1,0.0034013605442176874,False,ABSTAIN
guarded,signal,1,6,2.4499999999999997,2.0790928614545271e-13,0.0034013605442176874,True,1,0.0034013605442176874,True,RETAIN
guarded,unrelated,2,6,2.4499999999999997,0.12633774386272251,0.0068027210884353748,False,1,0.0034013605442176874,False,NOT_RETAINED
guarded,constant,3,6,2.4499999999999997,1,0.010204081632653064,False,1,0.0034013605442176874,False,ABSTAIN
guarded,copy,4,6,2.4499999999999997,1,0.01360544217687075,False,1,0.0034013605442176874,False,ABSTAIN
guarded,reverse_order,5,6,2.4499999999999997,1,0.017006802721088437,False,1,0.0034013605442176874,False,ABSTAIN
guarded,same_order,6,6,2.4499999999999997,1,0.020408163265306128,False,1,0.0034013605442176874,False,ABSTAIN
